"name","genre","menu","address","phone","update"
"pertica　　（イノベーティブ）","イノベーティブ","◆テイクアウト
・キューバサンド(￥1200)
・本物のカヌレ(￥300)
・熾火焼き和牛のステックアッシェ　パン包み(￥1500)

※電話による注文予約可","大阪府豊中市本町1-2-45&nbsp;","06-7162-1267","2020/04/11"
"ILparadosso TOYONAKA　（イタリアン）","イタリアン","◆テイクアウトメニュー
・pizzaマルゲリータ (￥1404)
・pizza ロマーナ(￥1512
・pizza クアトロフォルマッジ(￥1728)

※電話による注文予約可
※4月30日までテイクアウト店頭受け取りでピッツァ全品30%OFF
※ピッツァはどの時間帯でもテイクアウト可","大阪府豊中市本町1-1-3 ティオ豊中1F","06-6151-3633","2020/04/13"
"10.　京料理　木村　（和食）","和食","◆テイクアウト
・お持ち帰り弁当(￥1200)
・お持ち帰り上弁当(￥2500)
※ワインショップ&amp;バー　イストワさんでワインを買って来られた方は100円引き

※電話による注文予約可
※完全予約制ではございませんが、ご予約頂ければスムーズに出来立てをお渡しできます！！
※配達に関しましては、すぐ近くで、他のご予約と重ならなければ可能です。ご相談ください。
","大阪府豊中市本町1-13-17","06-6842-7906","2020/04/08"
"とん平本店　（鉄板焼き　お好み焼き　焼きそば）","鉄板焼き　お好み焼き　焼きそば","◆テイクアウト
・豚玉(￥740)
・オムそば(￥960)
・そばめし(￥960）　他
※基本メニューはどれも持ち帰りできますが、鍋類等一部テイクアウトに対応していないメニューがあります。

※電話による注文予約可
","大阪府豊中市本町３丁目4ー1","06-6857-2025","2020/04/08"
"創作割烹たかの　（和食）","和食","◆テイクアウト
・季節弁当（￥3000、￥5000）

※予約必須。お電話で。","大阪府豊中市上野東2-2-47-102 スタイルビル","06-6856-0218","2020/04/08"
"一汁二菜うえの豊中店　（和食）","和食","◆テイクアウト
・弁当(￥3780～)
・松花堂弁当(￥5400～)
・一品(￥864～)
・寿司盛り(￥5400円～)

※予約必須
","大阪府豊中市上野東3-1-5","06-6853-3955","2020/04/09"
"TAPE's STAND(タペズスタンド)　(バーガーカフェバル)","バーガーカフェバル","◆テイクアウト
・フィッシュフライバーガー(￥540)
・ロースカツサンド(￥830)
・アイリッシュ牛すじカレー(￥750)※テイクアウトサイズ

※他テイクアウトメニューは https://trusting-fermi-3255a1.netlify.app/ 
※デリバリー有(配達料350円、地域により変動有り)
※ドライブスルー可
※電話による注文予約をお勧めします
","大阪府豊中市本町1-13-32 スクランブル交差点前緑のビル(COCO豊中)","06-6853-5867","2020/04/19"
" KOJIBAR (コジバル) 　(イタリアンバル)","イタリアンバル","◆テイクアウト
・単品メニュー(￥380～)
・ランチボックス(￥1058)※前日までに要予約
・オードブルセット(￥4860)※前日までに要予約

※電話による注文予約可(ランチボックス、オードブルセットは要予約）
※詳しくは下記ホームページをご覧ください","大阪府豊中市上野東2-2-47 StyleビルB101","070-5263-9732","2020/04/21"
"日本料理　とみなが(旧おおさわ)　（和食）","和食","◆テイクアウト
・持ち帰り弁当(￥3850)
※前日までにご予約ください。
※その他お気軽にお問い合わせ下さい。","大阪府豊中市上野東 スタイルビル2階","06-6857-7448","2020/04/10"
"ラヴェリータ　（イタリアン）","イタリアン","◆テイクアウト
・大人気のフォカッチャで作るイタリアの パニーニ(￥1000→￥800)
・たっぷり春野菜のシーザーサラダ(￥1184)
・日替わりパスタ(￥800)
※箱代別途
※予約必須
※出前館対応可
※オーダーメニューパスタ 受け付けます
※週末限定のフォアグラハンバーグ丼、フォアグラローストビーフ丼も販売します。
詳しくは当店田中まで0668486568","大阪府豊中市岡上の町4-1-7 パヴィヨン豊中B1","06-6848-3568","2020/04/11"
"鼓道　　（和食）","和食","◆テイクアウトメニュー　※全て8%の税込価格
・極　特上親子丼(￥1100)
・十五品目の鼓道幕の内弁当(￥1200)
・紀州鴨の鴨しゃぶセット二人前(￥7000)、三人前(￥10500)

※電話による注文予約可
※豊中店　「鼓道」、緑地店「鴨と醸し鼓道」（吹田市千里山西4-37-3 1F）両店ともテイクアウトと地域限定でのデリバリーもいたします。
※デリバリー可能地域についてはお問い合わせください。","大阪府豊中市本町5-2-2 フォレストパーク1階","06-6852-7558","2020/05/08"
"とり庄　（焼き鳥）","焼き鳥","◆テイクアウト　
・日替わり弁当(￥500）　5/8～（電話注文のみ、月曜日は取扱いなし）
・串焼き(￥216～）※単品注文のため、種類は https://www.torisyou.jp/menu.html
・唐揚げ(￥450)
・ももマヨネーズ(￥780)　他

※串揚げの種類、その他メニューは<a href=""https://www.torisyou.jp/menu.html"" target=""_blank"" data-mce-href=""https://www.torisyou.jp/menu.html"">ホームページ</a> に掲載。
※お造りはテイクアウト不可。 
※消費税は別途かかります。
※電話注文可
※デリバリー不可","大阪府豊中市本町１―11―22","06-6846-1023","2020/05/04"
"日本料理　四幸　（和食）","和食","◆テイクアウト
・しこうの折詰弁当(￥1500)
・季節ごはんの二段弁当(￥2000)
・十二升の彩り弁当(￥3000)
・その他テイクアウトメニュー　日替り弁当500円日替り一品などご用意しております。
※テイクアウトは前日までにご予約ください
※対応時間12:00～19:00（お渡しはご注文時にご希望時間に対応します）
※基本的には店内にてお引き渡しとなりますが、ご注文量や時間帯に応じて配達などのご相談承ります。
","大阪府豊中市本町3丁目14-7-B1","06-6857-0450","2020/04/12"
"おいどん　　（うどん）","うどん","◆テイクアウト
・うどん各種(￥620～)
・丼もの各種(￥650～)
・もつ鍋セット　2人前１セット（通常￥3200→今だけ￥2850）
（もつ鍋セットのみ、前日までの要予約）

※電話による注文予約可
※テイクアウトメニュー、その他多数ありますので直接お問い合わせください。","大阪府豊中市本町1-12-11","06-7172-8730","2020/04/13"
"中華料理 敦煌豊中店　（中華）","中華","◆テイクアウト
・当店人気！油淋鶏弁当 通常￥800(税込)→￥750(税込)
・冷凍点心セット① 通常￥1270(税込)→￥1000(税込)
[セット内容・中華ちまき2個・蟹シュウマイ2個・肉シュウマイ2個・餃子6個]
・冷凍点心セット② 通常￥1650(税込)→￥1300(税込)
[セット内容・春巻2本・餃子10個・肉じゃがコロッケ2個・一口肉まん2個]

※予約が必須
※その他テイクアウトメニューございます","大阪府豊中市本町1丁目10-1 豊中駅前 （豊中第一ビル5階）","06-6849-0959","2020/04/13"
"お好み幸房和楽　（お好み焼き）","お好み焼き","◆テイクアウト
・豚玉(￥626)
・広島焼(豚)(￥626)
・ネギ塩焼きそば(￥734)

※電話による注文予約可
※Uber Eats可
※5/6までは、メニューを限定して提供しています。詳しくは http://www.eonet.ne.jp/~okonomi-waraku/ をご覧下さい。
※Uber eatsでご注文の場合は上記の価格と異なりますのでご了承下さい","大阪府豊中市本町3-13-1","06-6844-0766","2020/04/13"
"ホルモン食堂　ケラはち　（焼肉）","焼肉","◆テイクアウト
・ハラミ盛(￥690)
・MIXホルモン盛(￥500)
・ロース盛(￥900)
※全てご飯付きはプラス￥50
※この他にも唐揚げや生姜焼きなどのお弁当をご用意しております。

※別途箱代
※電話による注文予約可
※お持ち帰りに対応できないホルモンメニューがあります。ご了承ください。","大阪府豊中市岡上の町1-4-7","090-8881-3694","2020/04/14"
"くしかつ専門店オリオ　（くしかつ専門店）","くしかつ専門店","◆テイクアウト
・串5本(￥600)
・串7本(￥900)
・串10本(￥1200)

※暖かくなってきましたのでご飯付き弁当は当面販売いたしません。
※電話による注文予約可
","大阪府豊中市上野東2-2-50 和田マンション","06-6842-2882","2020/05/09"
"ビストロ・リッペ　（フランス料理）","フランス料理","◆テイクアウト
・おうちでお気軽フレンチセット(一人前)￥2700

※予約必須
※ご注文は前日までにお願いします。
※宅急便でのお届けも可能です。(別途送料)","大阪府豊中市末広町1ｰ1ｰ8","06-6858-3122","2020/04/15"
"具だくさん生パスタのお店　モルトボーノ豊中稲荷神社前店","","◆テイクアウト
・生パスタメニュー12種類（￥950~￥1275）
・ピザメニュー20種類（￥540～￥1458
・バケットメニュー8種類(￥119～￥238)
※テイクアウトメニューはホームページでもご覧頂けます http://www.foodsplanner.co.jp/molto-buono/ec/user_data/menu.php 
※電話でのご注文承ります。
※お支払いは現金、PAYPAYのみ
","大阪府豊中市本町5-2-3 ハイムラポールPart X 1F","06-6858-0010","2020/04/19"
"POCA .　（カフェランチアパレル）","カフェランチアパレル","◆テイクアウト
・バーベキューバーガー(￥550） ドリンク付き(￥700）
・イチゴサンド(￥500)　ドリンク付き(￥650)
※他テイクアウトメニューは https://www.poca-official.com/ 

※電話による注文予約可
※テイクアウト対応できないメニューがあります。
※他の注文はサイトからご確認ください。","大阪府豊中市本町1-13-34 チェリオビル191号","070-4008-1935","2020/04/15"
"dining bar fitche","","◆テイクアウト
・１番人気！自家製タレで漬け込んだ鶏もも肉の唐揚げ(¥550)
・１日１２食限定！ラザーニャの重ね焼き　fitche風(¥850)
・イタリア産生ハムと自家燻製チーズ(¥800)
・キノコのマリネ＆お野菜のトマト煮（冷製）(¥450)
・モッツァレラチーズ入りライスコロッケ １個(¥170)
・海の幸たっぷりのペンネグラタン(¥850)
・豚ロース肉のカツレツ　ミラノ風(¥1000)
・ハーブソーセージとチョリソーのソテー(¥800)

※店頭、または、お電話にての予約注文も可","大阪府豊中市本町1-2-17　1F","06-7897-0360","2020/04/15"
"SMOKE&SUMIBI 102　（燻製と炭火の酒場）","燻製と炭火の酒場","◆テイクアウト
・燻製盛り合わせ(￥1980)
・スモーキーBLTEサンド(￥900)
・もち豚と大根と卵の燻製ビール煮込み(￥780)
※電話による注文予約可
※店内飲食営業もしています。
","大阪府豊中市本町3-8-2 SMOKE&amp;SUMIBI 102","06-7173-6835","2020/04/15"
"Garage　（居酒屋　焼肉　食堂　イタリアン）","居酒屋　焼肉　食堂　イタリアン","◆テイクアウト
（ランチタイム）
・鳥の唐揚げ弁当（￥648)
・豊中名物弁当ワニ餃子入り(￥756)
（ディナータイム）
・ピッツァ(￥1100)
・パスタ(￥972）　　　　　　詳しくは https://theefoodrest.localinfo.jp/ をご覧ください

※電話による注文予約可
","大阪府豊中市玉井町1-9-19","090-5665-8989","2020/04/23"
"餃子の勝　（中華）","中華","◆テイクアウト
・元祖 餃子(￥270）
・生姜 餃子(￥270)
・名物シュウマイ(￥300)

※箱別途
※電話による注文予約可
※Uber Eats対応可
※一部テイクアウトに対応できないメニューあります。","大阪府豊中市本町1-4-3","06-7175-1164","2020/04/17"
"裕寿司　　（寿司）","寿司","◆テイクアウト
・お得にぎり(￥1080)
・上にぎり(￥1620)
・ぜいたくにぎり(￥2160)

※電話による注文予約可
","大阪府豊中市北桜塚1ー5ー16","06-6848-0006","2020/04/17"
"Y38　（居酒屋）","居酒屋","◆テイクアウト
・カツオの藁焼き(￥1000)
・唐揚げ弁当(￥880)
・もつ鍋1300円（２人前より）

※予約のみ受付
※デリバリー可
※メニューほとんどテイクアウトできます
※電話で応相談
※メニューは食べログに掲載されています。","大阪府豊中市本町1-11-22","06-6857-5077","2020/04/18"
"tricot101　（フレンチバル）","フレンチバル","◆テイクアウト
・洋食弁当(￥880)
・フレンチデリ弁当　肉　魚（各￥1200)
・1000日スパイスカレー(￥550)

※電話による注文予約可
","大阪府豊中市岡上の町4-5-34 リブレ豊中","080-4010-3316","2020/04/29"
"Chouchou wine stand 豊中　（ワインスタンド）","ワインスタンド","◆テイクアウト
・豚タンの赤ワイン煮(￥400)
・パテドカンパーニュ(￥400)
・カレードリア(￥450)

※電話による注文予約可
","大阪府豊中市本町7-1-7","06-6845-3316","2020/04/19"
"久保田　（イタリアン）","イタリアン","◆テイクアウト
・自家製生地のピザ(￥800)
・牛ラグートマトパスタ(￥900)
・ボイリート（おでん）(￥800)

※その他店内フード持ち帰り可能
※電話による注文予約可
","大阪府豊中市本町3丁目5-45","06-6857-1000","2020/04/19"
"petit chouchou　（Teashop＆SABARのさば寿司）","Teashop＆SABARのさば寿司","◆テイクアウト
・BREW TEA(￥720～)
・amsu tea 100g(￥432～)
・SABARのさば寿司(４カン)(￥650～)

※電話による注文予約可
※紅茶のラッピングは有料と無料があります。","大阪府豊中市本町1-13-34 チェリオビル101","090-6556-3316","2020/04/29"
"イタリア料理 ビストランテ サ・ルーチェ","","◆テイクアウト　（価格は税込）
・サルーチェ弁当 (￥2700) (写真イメージ)
・ラグーソースのフェットチーネ(￥1500)[一人前(パスタ80g自家製フェットチーネと ソースのセット]※ご自宅で仕上げていただけます
・鴨ロースト(￥2500) (360～400ｇ) など

※予約必須、受付は電話のみ
※テイクアウトのご注文は前日の10時～19時までにお願い致します
※お受け渡しのお時間は10時～19時の間でご予約下さい
※ご注文はお電話のみとさせていただきます
※テイクアウトメニューは日々追加、更新しております、詳しくはホームページやフェイスブック、インスタグラムをご覧ください
","大阪府豊中市栗ケ丘町9ー34","06-6845-3601","2020/04/19"
"鮮魚こばやし　（和食）","和食","◆テイクアウト
・おさかな弁当(￥800)
・お造り弁当(￥1200)
・天ぷら弁当(￥1200)

※予約必須
※デリバリー可
※詳しくは http://senkoba.com/ をご覧ください

","大阪府豊中市本町9丁目１－１","0120-06-7661","2020/04/21"
"スタンドバルamanozyaku　（ダイニングバー）","ダイニングバー","◆テイクアウト
・甘辛タンドリーチキンカレー (￥750)
・オムライス (￥750)
・明太子ソースのオムライス (￥800)
・キノコのオムライス (￥800)

※電話による注文予約可
※創作串家AKANBEEさんとコラボランチ営業させて頂いてます。
【住所】豊中市本町3-14-1
※テイクアウトメニューに限り、イートインも可能です。
※お電話又は、InstagramのDMにて事前予約をいただけますと、なるべくお待たせせずにスムーズに提供しやすくなります。
タップしてください→ tel:09031679885　<a href=""https://www.instagram.com/amanozyaku_s.baru"" target=""_blank"" data-mce-href=""https://www.instagram.com/amanozyaku_s.baru"">【Instagram】</a> ","大阪府豊中市玉井町1-3-2 1F","090-3167-9885","2020/04/20"
"創作串焼き AKANBEE　（創作串焼き）","創作串焼き","◆テイクアウト
・日替りオードブルセット(￥1200)
・オムライス/プレーン(￥750)&nbsp;明太子(￥800)キノコ(￥800)
・日替り弁当(￥700)

※前日予約制
","大阪府豊中市本町3-14-1","06-6850-4723","2020/04/21"
"しげちゃんのからあげ　（からあげ、だしまき専門店）","からあげ、だしまき専門店","◆テイクアウト
・チキン南蛮シングル(￥780)
・だしから2個弁当(￥740)
・鶏めし(￥800)

※予約は受けません。
※Uber Eats可
※Uberのみの配達で、20時までの受付です。","大阪府豊中市玉井町1-1-1 エトレとよなか　1階","06-6151-2789","2020/04/21"
"居酒屋さとう　（居酒屋）","居酒屋","◆テイクアウト
・all手作り羽根つき餃子(￥500)
・干し豆腐中華炒め(￥600)
・春餅（しゅんびん）(￥600)

・電話による注文予約可
","大阪府豊中市本町1-13-2","090-6206-0818","2020/04/23"
"地鶏地酒の店　くいくい　（焼き鳥居酒屋）","焼き鳥居酒屋","◆テイクアウト
・焼き鳥おまかせ 5本(￥540)
・鷄の唐揚げ(￥480)
・焼き鳥丼(￥590) など

※予約必須
※ゴールデンウィーク中は日曜日以外、祝日も営業しています！","大阪府豊中市本町1ー2ー15","06-6849-4472","2020/04/23"
"Marcy　（小さなレストラン）","小さなレストラン","◆テイクアウト
・メインbox(￥1500)2-4人前相当
　[栗豚ローストポーク自家製BBQソース&amp;大山鶏ブレゼ　マッシュポテト ]　
・スイーツbox(￥950)
・限定スペシャルbox（￥1800～)2人前相当
　[例：ホロホロ鳥のペポーゾ&amp;羊ソーセージのジャンバラヤ]

※予約必須
※エコバッグの持参をお願いいたします。","大阪府豊中市本町3-15-27 宮本マンション","06-6152-5078","2020/04/24"
"Natural Wine Shop&Bar Histoi　（ワインバー）","ワインバー","◆テイクアウト
・店主お手製スパイスカレー(￥864)
・ワインバーのパテドカンパーニュ(￥648)
・各種オードブル(￥324～)

・電話による注文予約可
","大阪府豊中市本町3-2-3 東洋ビル1F","06-6151-4477","2020/05/04"
"ポルタブル　（イタリアン）","イタリアン","◆テイクアウト
・キャロットラペ(￥410)・パテドカンパーニュ(￥864)
・トリッパのトマト煮込み(￥810)・本日の野菜のクリームスープ(￥432)
・ボロネーゼソース（￥756)
・特製ハーブチキン(￥1296)・煮込みハンバーグ(￥734)
※その他色々取り揃えております。
※詳しくは https://www.instagram.com/p/B_BXwRYFK7x/?igshid=uk6xyaesvfpz ・フェイスブックをご覧下さい。

※お電話でご注文頂ければお渡しがスムーズです。
※一部を除いて真空パックでのお渡しになります。
※冷凍保存可
","大阪府豊中市本町６丁目1-1　ヒルズワンビル203","06-6849-7070","2020/04/26"
"KaleidoBagel（カレイドベーグル）（ベーカリーカフェ）","ベーカリーカフェ","◆テイクアウト
・ベーグルサンド(￥400～)
・ベーグル単品(￥150～)
・タピオカドリンク(￥480)

※電話による注文予約可
","大阪府豊中市本町3-8-2","06-6853-3311","2020/04/27"
"酒と蕎麦　こなから　（和食　そば）","和食　そば","◆テイクアウト
・酒肴(おかず)盛り合わせ(￥1200)
・特製そばつゆ ※前日までの予約必須 
　うす口醤油出汁(￥530) こい口醤油出汁(￥930) (容器持参で￥130引き)
・生そば　出汁付き(￥730)※前日までの予約必須
※トッピングメニューもございます。

※予約必須
※他一品料理のテイクアウトも出来ます。","大阪府豊中市本町1丁目3-19 長尾第一ビル　1-G","06-6868-9932","2020/04/29"
"alcoveGALA　（カフェ・バー）","カフェ・バー","◆テイクアウト　 各￥800
・きまぐれランチのお惣菜5種(ご飯無し)※写真イメージ
・きまぐれランチのお惣菜3種(ご飯付き)
・ひよこ豆のキーマカレー(サラダ付き)
野菜たっぷり人気のランチメニュー　自家製ドレッシングのサラダをどうぞ

※電話による注���予約可
※事前にご予約頂くとスムーズにお渡しできます","大阪府豊中市本町1-9-19　2F","06-6850-1122","2020/05/01"
"thee food rest ぶらり（フードバー／イタリアン／無国籍）","フードバー／イタリアン／無国籍","◆テイクアウト
・オリジナルスパイスカレー(￥756)※なくなり次第終了
・豊中名物弁当〈唐揚げ、一口コロッケ、ワニ餃子〉(￥756)
・ぶらりのお任せお家でのたりset （要予約）(￥1430）
　〈自家製タルタルチキン南蛮等〉

※電話による注文予約可
※お電話や店頭でのご予約いただけると、スムーズなお渡しができます。","大阪府豊中市本町1-2-49 小林ビル 1F","06-6846-4216","2020/05/01"
"853coffee　（喫茶店）","喫茶店","◆テイクアウト
・ミソカツサンド(￥550)
・ミックスサンド(￥550)
・ベーコンサンド(￥450)
※他にも多数ご用意しております

※電話による注文予約可
※サンドイッチは期間限定で50円引きの価格です。
※その他珈琲や各種ドリンク、珈琲豆のテイクアウトも行っております","大阪府豊中市本町6丁目1－1 ヒルズワンビル102","06-6398-7665","2020/05/02"
"N's BAR　（カフェバー&BAR）","カフェバー&BAR","◆��イクアウト（価格は税込）
・美味し過ぎず、昔ながらの、かしわのミンチの かしみんカレー(￥500)

※電話による注文予約可
※電話注文 伺いますが、来店されてから即座に カレーを注ぎます。
※5月6日以降は、時間変更あり予定。
※電話か、SUNTORYバーナビで、ご確認下さいませ。","大阪府豊中市本町1丁目10ー1 ボーゼム豊中第１ピル 1階","090-5165-6564","2020/05/02"
"ふるさと五島の味「小田茂信の店」（和食）","和食","◆テイクアウト
・お造り(￥600～)
・焼き魚(￥600～)
・煮魚(￥600～)

※電話による注文予約可
※その日の仕入れで多少変わりますのでインスタグラム、facebookで、ご確認下さい。","大阪府豊中市本町６－１－１ ヒルズワンビル２F","06-6849-7747","2020/05/05"
"創作料理　おばんざい　きむら（創作料理と自家製スモーク）","創作料理と自家製スモーク","◆テイクアウト
・家飲みセット３種（和牛、鶏、魚）(￥1200)
・自家製スモーク盛り合わせ(￥1200)
　その他単品承ります。

※電話による注文予約可
※１６時お渡しご希望の場合は事前予約をお願いします。
※受け取り最終時間は２０時３０分です。
※一部テイクアウト未対応の商品が御座います。
※詳しくはお尋ね下さい。","大阪府豊中市本町３－１４－１","06-6840-1317","2020/05/02"
"Spicecurry&bal fanfare　（スパイスカレー）","スパイスカレー","◆テイクアウト
・スパイスキーマカ���ー
・欧風ビーフカレー
・本日のスパイスカレー
※全部通常９００円が今だけ６９０円

※電話による注文予約可
※Uber Eats対応可
","大阪府豊中市本町1ー9ー33","06-6151-9521","2020/05/02"
"焼肉grandma　（焼肉）","焼肉","◆テイクアウト
・和牛カルビ弁当(￥1000)
・牛タン弁当(￥1000)
・コチュジョン(唐辛子入チヂミ)(￥750)

※電話による注文予約可
※お弁当は注文いただいてから焼きますので、店内で少しお待ちいただくか、事前にご予約頂くとスムーズにお渡しできるかと思います。
※お弁当以外も一品等テイクアウト可能です。お問い合わせ下さい。","大阪府豊中市本町6-1-3 195ストリートビル1F","06-4867-4300","2020/05/02"
"マラサダドーナツのお店　（カフェ）","カフェ","◆テイクアウト
・ マラサダプレーン(¥160)
・マラサダカスタード(¥190)
・マラサダパン(¥150)

※電話による注文予約可
※ 2000円以上のご注文で宅配できる場合があります。詳しくは店舗までお問い合わせください。","大阪府豊中市本町1-9-34","06-6853-2170","2020/05/02"
"ダイニングバーとまと","","◆テイクアウトメニュー
・日替わりお惣菜（￥350～）
・とまとリゾット（￥850）な
","大阪府豊中市中桜塚2-31-14","06-6841-4996","2020/04/10"
"イタリア食堂diritto　(イタリアン）","イタリアン","◆テイクアウト
・自家製デリ10種盛り合せ(￥1620)
・パスタ　牛タンのラグーソース、自家製手打ちパスタタリオリーニ(￥1290)
※麺とソースのお渡しです、ご家庭で麺を茹でてソースと合わせて下さい
・ランチタイム(￥600～）

","大阪府豊中市中桜塚2-25-12 ループトーワビル","06-4865-5610","2020/04/06"
"焼肉たか　（焼き肉）","焼き肉","◆テイクアウト
・豚キムチ弁当(￥580)
・焼肉弁当(￥850)
・お家で焼肉ファミリーセット(￥5000～)
","大阪府豊中市中桜塚2-18-12 藤本ビル 北1Ｆ","06-6151-3629","2020/04/07"
"酒肴家 いち凜　（創作料理）","創作料理","◆テイクアウト
・いち凜のおまかせランチ弁当〈日替わり〉(￥850)

※電話による注文予約可
※土曜日は夜営業のみなので、テイクアウト販売は行なっておりません。","大阪府豊中市中桜塚2丁目27番8-122 豊中市桜塚ショッピングセンター内","06-6858-3320","2020/04/08"
"トラットリア　オロ　ブリランテ　（イタリア料理店）","イタリア料理店","◆テイクアウト
・日替わりパン付パスタ(￥600)
・日替わり前菜つきパスタ(￥850)
・単品パスタ（トマト・クリーム・オイル系）(￥900)
・自家製ニョッキ・ゴルゴンゾーラクリームソース（￥1,250）
・シェフおまかせ前菜盛り合わせ（￥900～）
その他、自家製パン・無農薬野菜サラダなどなど。店内サンプルをご覧下さい。

※箱代など別途
※電話による注文予約可

","大阪府豊中市中桜塚２－１－１","06-4866-5005","2020/04/17"
"手作り弁当エース・ワン  旨酒処 榮右衛門　(弁当  居酒屋)","弁当  居酒屋","◆テイクアウト
・幕の内弁当(￥480)
・だし巻き玉子&amp;鶏からあげ弁当(￥480)
・豚しょうが焼き弁当(￥480)

※電話による注文予約可
※昼は弁当屋、夜は居酒屋の店です。
※昼は弁当3個以上で配達します。
※夜はテイクアウトのみ","大阪府豊中市中桜塚2-18-18","06-6849-2241","2020/04/09"
"しあわせおでん処  正心亭　（おでん）","おでん","◆テイクアウト
・定番おかちゃんセット(￥1300)
・その他お好みの単品(￥108～)

※箱代別
※電話による注文予約可
","大阪府豊中市中桜塚1-8-4","06-7508-2591","2020/04/09"
"生パスタの店 felice　（イタリアン）","イタリアン","◆テイクアウト
・マルゲリータ(￥1,080)
・クワトロフロマージュ(￥1,188)
・具沢山MIXピッツァ(￥1,296)

※テイクアウトはピッツァのみ
※電話による注文予約可
","大阪府豊中市岡町南1-1-22 矢部ビル岡町コーポ102","06-6836-9326","2020/04/24"
"炭火焼肉慶州館　　（焼肉）","焼肉","◆テイクアウト
・炭火焼肉焼肉弁当(100g)(￥784)
・炭火焼鳥丼(￥680)
・炭火焼き豚カルビ丼(￥680)

※電話による注文予約可
※出前館,Uber Eatsでのお届け可
・お持ち帰りは出前館の表示価格より20％オフになります！！
出前館当店サイトは https://sp.demae-can.com/shop/menu/3036879/ 

","大阪府豊中市中桜塚2-18-8 丸正ビル2階","06-6852-0299","2020/04/10"
"souvenir　（スイーツ）","スイーツ","◆テイクアウト
・りんごのパイ(￥162)
・レーズンとりんごのパイ(￥162)
・キャラメルチョコとりんごのパイ(￥162）

※電話による注文予約可
※タイミングによっては商品が少ない時がありますので、ご予約をおすすめします。","大阪府豊中市夕日丘1-1-1","06-7171-8462","2020/04/10"
"CO.ZARA　（居酒屋バル）","居酒屋バル","◆テイクアウト
・オムライス各種［昔ながらのケチャップ(￥550)、イタリア産トマトソース(￥650)・チキンクリームソース(￥700)・牛スジシチューソース(￥750)］
・トッピング ［フィシュフライ(￥150) ・エビフライ(￥150) ・ソーセージ(￥100 )・黒毛和牛カツレツ(￥250)・手づくりハンバーグ(￥300)］

※電話による注文予約可

","大阪府豊中市中桜塚2丁目18―11 第２トーワビル2FC号","06-6841-1600","2020/04/28"
"鶏料理　六源　（やきとり）","やきとり","◆テイクアウト
・やきとり各種(もも、ねぎま、せせり、つくねなど)　￥151～
・唐揚げ各種(もも肉、手羽先、ずりなど)　￥702
・ご飯物(鶏焼きめし、鶏釜飯、やきとり丼など)　￥594～

※別途箱代要
※電話による注文予約可
※生物、汁物などはテイクアウトできません。","大阪府豊中市中桜塚3-10-35 ビジネスゾーン豊中センタービル１F","06-6845-6969","2020/04/08"
"さかな料理 魚甚　(和食)","和食","◆テイクアウト
・鯛めし弁当(￥1500)税込

※予約必須
※テイクアウトは昼夜問わず予約を受け付けています。
※お昼に受け取りを希望される方は、前日の21時までに予約をお願いします。
","大阪府豊中市中桜塚2-20-10 サンリッチ豊中 2階","06-6845-6040","2020/05/02"
"としまさ214　（テイクアウト　粉もの）","テイクアウト　粉もの","◆テイクアウト
・クレープ(￥350～)、鯛焼き(各￥130)（あずき・カスタード）
・たこ焼6個(￥330)、8個(￥440)、10個(￥550)
・お好み焼き豚玉（￥400)、イカ玉(￥400)、ﾐｯｸｽ(￥450)　
※その他、焼きそば、焼きうどん、そばめし、たこセンなど

※予約必須
","大阪府豊中市中桜塚2-27-8 桜塚ショッピングセンター","06-6842-7234","2020/04/15"
"料理屋くおん　（日本料理）","日本料理","◆テイクアウト
・仕出し弁当(￥3240)（写真参照）

※予約が必須
※デリバリーします。
※仕出し弁当のご注文は２個から承ります。","大阪府豊中市北桜塚3-7-28","06-6850-4120","2020/04/15"
"SIDEMAAN'S / 喫茶リモン　（喫茶店・ジャム）","喫茶店・ジャム","◆テイクアウト
・ドライカレー(￥700)
・てりやきジンジャーチキンサンド(￥550)
・自家製ジンジャーエール(￥450)　 など

※箱代別途
※電話による注文予約可
※LINE公式アカウントからご注文予約ができます。
※LINE公式アカウントからのご注文方法や、テイクアウトメニューなど詳しくは、 https://sidemaans.theshop.jp/blog/2020/04/10/170207 をご覧ください。
※お買い物のついでに、直接ご来店頂いてのご注文も承っておりますが、出来上がりまでにお時間を頂くこととなりますので予めご了承ください。","大阪府豊中市中桜塚2-18-12 藤本ビルB1F北","090-5052-2979","2020/04/15"
"古絵本とコーヒーのお店　ちぇすなっと　（カフェ）","カフェ","◆テイクアウト
・コーヒー[ホット・アイス]　(￥500）
・カフェオレ[ホット・アイス]　(￥600)
※＋50円でカフェインレスに変更可

※予約は受けません
※メニューの中にはテイクアウトに対応できないメニューがあります。","大阪府豊中市岡町南1-6-13-101 ダイアコート豊中","090-2101-7566","2020/04/16"
"カフェ　ダイニングJ　（和食　中華　洋食）","和食　中華　洋食","◆テイクアウト
・日替わり弁当(￥500)
・オムライス(￥700)
・惣菜盛り合わせ(￥600)

※電話による注文予約可
","大阪府豊中市岡町9-2","06-6849-3345","2020/04/20"
